idx,102,LOG_TIME,2023-05-18T05:15:24,2023-05-18T00:15:24,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,140%/50%,3,6,6,103s
idx,103,LOG_TIME,2023-05-18T05:15:25,2023-05-18T00:15:25,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,140%/50%,3,6,6,104s
idx,104,LOG_TIME,2023-05-18T05:15:27,2023-05-18T00:15:27,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,140%/50%,3,6,6,105s
idx,105,LOG_TIME,2023-05-18T05:15:28,2023-05-18T00:15:28,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,106s
idx,106,LOG_TIME,2023-05-18T05:15:29,2023-05-18T00:15:29,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,107s
idx,107,LOG_TIME,2023-05-18T05:15:30,2023-05-18T00:15:30,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,108s
idx,108,LOG_TIME,2023-05-18T05:15:31,2023-05-18T00:15:31,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,109s
idx,109,LOG_TIME,2023-05-18T05:15:32,2023-05-18T00:15:32,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,110s
idx,110,LOG_TIME,2023-05-18T05:15:33,2023-05-18T00:15:33,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,111s
idx,111,LOG_TIME,2023-05-18T05:15:34,2023-05-18T00:15:34,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,112s
idx,112,LOG_TIME,2023-05-18T05:15:35,2023-05-18T00:15:35,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,113s
idx,113,LOG_TIME,2023-05-18T05:15:36,2023-05-18T00:15:36,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,114s
