idx,74,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1058m,13%,1345Mi,16%,
kind-worker,110m,1%,351Mi,4%,
kind-worker2,56m,0%,390Mi,4%,
kind-worker3,30m,0%,371Mi,4%,
idx,75,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1058m,13%,1345Mi,16%,
kind-worker,110m,1%,351Mi,4%,
kind-worker2,56m,0%,390Mi,4%,
kind-worker3,30m,0%,371Mi,4%,
idx,76,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1050m,13%,1354Mi,16%,
kind-worker,40m,0%,349Mi,4%,
kind-worker2,184m,2%,402Mi,5%,
kind-worker3,183m,2%,383Mi,4%,
idx,77,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1050m,13%,1354Mi,16%,
kind-worker,40m,0%,349Mi,4%,
kind-worker2,184m,2%,402Mi,5%,
kind-worker3,183m,2%,383Mi,4%,
idx,78,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1050m,13%,1354Mi,16%,
kind-worker,40m,0%,349Mi,4%,
kind-worker2,184m,2%,402Mi,5%,
kind-worker3,183m,2%,383Mi,4%,
idx,79,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1050m,13%,1354Mi,16%,
kind-worker,40m,0%,349Mi,4%,
kind-worker2,184m,2%,402Mi,5%,
kind-worker3,183m,2%,383Mi,4%,
idx,80,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
