NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,365m,4%,840Mi,10%,
kind-worker,141m,1%,302Mi,3%,
kind-worker2,159m,1%,320Mi,4%,
kind-worker3,246m,3%,317Mi,3%,
idx,76,LOG_TIME,2023-05-14T19:15:48,2023-05-14T14:15:48
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,365m,4%,840Mi,10%,
kind-worker,141m,1%,302Mi,3%,
kind-worker2,159m,1%,320Mi,4%,
kind-worker3,246m,3%,317Mi,3%,
idx,77,LOG_TIME,2023-05-14T19:15:49,2023-05-14T14:15:49
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,365m,4%,840Mi,10%,
kind-worker,141m,1%,302Mi,3%,
kind-worker2,159m,1%,320Mi,4%,
kind-worker3,246m,3%,317Mi,3%,
idx,78,LOG_TIME,2023-05-14T19:15:50,2023-05-14T14:15:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,365m,4%,840Mi,10%,
kind-worker,141m,1%,302Mi,3%,
kind-worker2,159m,1%,320Mi,4%,
kind-worker3,246m,3%,317Mi,3%,
idx,79,LOG_TIME,2023-05-14T19:15:51,2023-05-14T14:15:51
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,365m,4%,840Mi,10%,
kind-worker,141m,1%,302Mi,3%,
kind-worker2,159m,1%,320Mi,4%,
kind-worker3,246m,3%,317Mi,3%,
idx,80,LOG_TIME,2023-05-14T19:15:52,2023-05-14T14:15:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,365m,4%,840Mi,10%,
kind-worker,141m,1%,302Mi,3%,
kind-worker2,159m,1%,320Mi,4%,
kind-worker3,246m,3%,317Mi,3%,
idx,81,LOG_TIME,2023-05-14T19:15:53,2023-05-14T14:15:53
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,365m,4%,840Mi,10%,
kind-worker,141m,1%,302Mi,3%,
kind-worker2,159m,1%,320Mi,4%,
kind-worker3,246m,3%,317Mi,3%,
idx,82,LOG_TIME,2023-05-14T19:15:54,2023-05-14T14:15:54
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,365m,4%,840Mi,10%,
kind-worker,141m,1%,302Mi,3%,
kind-worker2,159m,1%,320Mi,4%,
kind-worker3,246m,3%,317Mi,3%,
idx,83,LOG_TIME,2023-05-14T19:15:55,2023-05-14T14:15:55
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,439m,5%,845Mi,10%,
kind-worker,149m,1%,302Mi,3%,
kind-worker2,161m,2%,319Mi,4%,
kind-worker3,247m,3%,317Mi,3%,
idx,84,LOG_TIME,2023-05-14T19:15:56,2023-05-14T14:15:56
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,439m,5%,845Mi,10%,
kind-worker,149m,1%,302Mi,3%,
kind-worker2,161m,2%,319Mi,4%,
kind-worker3,247m,3%,317Mi,3%,
idx,85,LOG_TIME,2023-05-14T19:15:57,2023-05-14T14:15:57
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,439m,5%,845Mi,10%,
kind-worker,149m,1%,302Mi,3%,
kind-worker2,161m,2%,319Mi,4%,
kind-worker3,247m,3%,317Mi,3%,
idx,86,LOG_TIME,2023-05-14T19:15:58,2023-05-14T14:15:58
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,439m,5%,845Mi,10%,
kind-worker,149m,1%,302Mi,3%,
kind-worker2,161m,2%,319Mi,4%,
