idx,68,LOG_TIME,2023-05-12T00:23:50,2023-05-12T05:23:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1395Mi,17%,
kind-worker,42m,0%,365Mi,4%,
kind-worker2,196m,2%,413Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,69,LOG_TIME,2023-05-12T05:23:51,2023-05-12T00:23:51
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1395Mi,17%,
kind-worker,42m,0%,365Mi,4%,
kind-worker2,196m,2%,413Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,70,LOG_TIME,2023-05-12T05:23:52,2023-05-12T00:23:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,1399Mi,17%,
kind-worker,51m,0%,367Mi,4%,
kind-worker2,172m,2%,413Mi,5%,
kind-worker3,53m,0%,395Mi,4%,
idx,71,LOG_TIME,2023-05-12T05:23:53,2023-05-12T00:23:53
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,1399Mi,17%,
kind-worker,51m,0%,367Mi,4%,
kind-worker2,172m,2%,413Mi,5%,
kind-worker3,53m,0%,395Mi,4%,
idx,72,LOG_TIME,2023-05-12T05:23:54,2023-05-12T00:23:54
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,1399Mi,17%,
kind-worker,51m,0%,367Mi,4%,
kind-worker2,172m,2%,413Mi,5%,
kind-worker3,53m,0%,395Mi,4%,
idx,73,LOG_TIME,2023-05-12T00:23:55,2023-05-12T00:23:55
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,1399Mi,17%,
kind-worker,51m,0%,367Mi,4%,
kind-worker2,172m,2%,413Mi,5%,
kind-worker3,53m,0%,395Mi,4%,
idx,74,LOG_TIME,2023-05-12T05:23:56,2023-05-12T00:23:56
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,1399Mi,17%,
kind-worker,51m,0%,367Mi,4%,
kind-worker2,172m,2%,413Mi,5%,
kind-worker3,53m,0%,395Mi,4%,
idx,75,LOG_TIME,2023-05-12T05:23:57,2023-05-12T00:23:57
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,1399Mi,17%,
kind-worker,51m,0%,367Mi,4%,
kind-worker2,172m,2%,413Mi,5%,
kind-worker3,53m,0%,395Mi,4%,
idx,76,LOG_TIME,2023-05-12T05:23:58,2023-05-12T00:23:58
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,1399Mi,17%,
kind-worker,51m,0%,367Mi,4%,
kind-worker2,172m,2%,413Mi,5%,
kind-worker3,53m,0%,395Mi,4%,
idx,77,LOG_TIME,2023-05-12T05:23:59,2023-05-12T05:23:59
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,1399Mi,17%,
kind-worker,51m,0%,367Mi,4%,
kind-worker2,172m,2%,413Mi,5%,
kind-worker3,53m,0%,395Mi,4%,
idx,78,LOG_TIME,2023-05-12T05:24:00,2023-05-12T00:24:00
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,1399Mi,17%,
kind-worker,51m,0%,367Mi,4%,
kind-worker2,172m,2%,413Mi,5%,
kind-worker3,53m,0%,395Mi,4%,
idx,79,LOG_TIME,2023-05-12T05:24:01,2023-05-12T05:24:01
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,1399Mi,17%,
kind-worker,51m,0%,367Mi,4%,
kind-worker2,172m,2%,413Mi,5%,
kind-worker3,53m,0%,395Mi,4%,
idx,80,LOG_TIME,2023-05-12T00:24:02,2023-05-12T00:24:02
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1144m,14%,1396Mi,17%,
kind-worker,116m,1%,376Mi,4%,
kind-worker2,101m,1%,406Mi,5%,
kind-worker3,56m,0%,395Mi,4%,
idx,81,LOG_TIME,2023-05-12T05:24:03,2023-05-12T00:24:03
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1144m,14%,1396Mi,17%,
kind-worker,116m,1%,376Mi,4%,
kind-worker2,101m,1%,406Mi,5%,
kind-worker3,56m,0%,395Mi,4%,
idx,82,LOG_TIME,2023-05-12T00:24:04,2023-05-12T00:24:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1144m,14%,1396Mi,17%,
kind-worker,116m,1%,376Mi,4%,
kind-worker2,101m,1%,406Mi,5%,
kind-worker3,56m,0%,395Mi,4%,
idx,83,LOG_TIME,2023-05-12T05:24:05,2023-05-12T00:24:05
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1144m,14%,1396Mi,17%,
kind-worker,116m,1%,376Mi,4%,
kind-worker2,101m,1%,406Mi,5%,
kind-worker3,56m,0%,395Mi,4%,
idx,84,LOG_TIME,2023-05-12T00:24:06,2023-05-12T00:24:06
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1144m,14%,1396Mi,17%,
kind-worker,116m,1%,376Mi,4%,
kind-worker2,101m,1%,406Mi,5%,
kind-worker3,56m,0%,395Mi,4%,
idx,85,LOG_TIME,2023-05-12T00:24:07,2023-05-12T00:24:07
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1144m,14%,1396Mi,17%,
kind-worker,116m,1%,376Mi,4%,
kind-worker2,101m,1%,406Mi,5%,
